Exercise,SAT,Pulse,Piercings,Grade,Sex
10,1210,54,0,B,Male
4,1150,66,3,C,Female
14,1110,130,0,C,Male
3,1120,78,0,B,Male
3,1170,40,6,B,Female
5,1150,80,4,B,Female
10,1320,94,8,B,Female
13,1370,77,0,B,Male
3,1100,60,7,B,Female
12,1370,94,2,A,Female
12,1170,63,2,C,Female
12,1150,54,0,B,Male
6,1300,66,4,B,Female
10,1200,59,4,A,Female
3,1200,88,4,B,Female
7,1350,59,0,B,Male
2,1410,64,2,B,Female
14,1000,72,5,B,Female
10,1190,74,2,B,Female
14,1130,70,2,B,Female
20,1180,58,0,B,Male
7,1200,48,0,B,Male
12,1230,74,0,B,Male
10,1420,60,0,A,Male
6,1200,74,2,B,Female
14,1150,70,0,B,Male
12,1110,74,0,C,Male
10,1000,60,0,B,Male
8,1230,55,0,B,Male
0,1260,82,1,A,Female
10,1060,68,0,B,Male
6,1280,83,0,B,Male
5,1010,53,2,C,Female
24,1140,72,4,B,Female
2,1200,86,0,B,Male
10,1070,67,4,C,Female
6,1350,89,2,A,Female
5,1140,48,4,C,Female
5,1220,64,0,B,Male
12,1120,73,7,C,Female
2,1050,80,2,B,Female
7,1040,85,5,B,Female
15,1240,60,0,B,Male
5,1240,61,0,B,Male
7,1110,80,0,B,Male
15,1320,70,0,B,Male
8,1230,61,0,B,Male
14,1200,58,2,B,Female
4,1370,88,4,A,Female
15,1320,68,1,B,Male
4,940,68,0,C,Male
15,980,35,0,B,Male
3,1220,90,0,B,Male
3,1260,88,4,B,Female
15,1260,67,2,A,Female
20,1010,71,2,B,Female
3,1250,68,2,B,Female
6,1270,73,0,B,Male
12,1200,55,2,A,Male
20,1200,96,0,B,Male
10,1250,73,5,B,Female
10,1200,60,1,B,Male
4,1180,80,0,C,Male
9,1300,96,0,B,Male
12,1080,49,0,B,Male
2,1180,62,5,B,Female
15,1240,68,6,B,Female
10,1310,52,5,B,Female
7,1180,71,2,C,Female
3,1260,72,2,B,Female
8,1220,77,4,B,Female
5,1140,68,2,B,Female
10,1300,60,0,C,Male
15,1280,65,0,B,Male
5,1040,84,3,B,Female
6,1280,80,7,A,Female
18,1080,66,1,C,Female
16,1110,70,7,B,Female
4,1240,70,0,B,Male
3,1100,72,3,A,Female
5,1140,69,0,B,Male
10,1140,89,0,B,Male
2,1180,79,2,B,Female
4,1480,98,4,B,Female
14,1220,48,0,C,Male
7,1250,71,0,B,Male
14,1200,67,2,B,Female
3,1250,66,0,C,Male
5,1150,66,0,A,Male
15,1370,60,0,B,Male
5,1200,77,2,B,Female
4,1250,80,2,B,Female
8,1120,70,0,A,Male
